Row #,Species,Count,Location,S/P,Date,LocID,SubID
438,Great Black-backed Gull,2,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
439,Northern Harrier,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
440,Fish Crow,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
441,Palm Warbler,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
442,Rose-breasted Grosbeak,1,Westmoor Park,US-CT,10 Sep 2017,L198655,S39110442
443,Bay-breasted Warbler,1,McLean Game Refuge,US-CT,09 Sep 2017,L280794,S39087659
444,Lesser Yellowlegs,2,Great Pond Trail,US-CT,08 Sep 2017,L2128535,S39063358
445,Hairy Woodpecker,1,Great Pond Trail,US-CT,08 Sep 2017,L2128535,S39063358
446,Ovenbird,1,Great Pond Trail,US-CT,08 Sep 2017,L2128535,S39063358
447,Wild Turkey,2,Cold Spring Reservoir,US-CT,07 Sep 2017,L6250677,S39057438
448,Eastern Phoebe,1,"2865R Albany Avenue, West Hartford, Connecticut, US (41.791, -72.787)",US-CT,07 Sep 2017,L6249570,S39048282
449,Red-eyed Vireo,1,"2865R Albany Avenue, West Hartford, Connecticut, US (41.791, -72.787)",US-CT,07 Sep 2017,L6249570,S39048282
450,Brown Creeper,1,"2865R Albany Avenue, West Hartford, Connecticut, US (41.791, -72.787)",US-CT,07 Sep 2017,L6249570,S39048282
451,Eastern Bluebird,3,"2865R Albany Avenue, West Hartford, Connecticut, US (41.791, -72.787)",US-CT,07 Sep 2017,L6249570,S39048282
452,Black-and-white Warbler,1,"2865R Albany Avenue, West Hartford, Connecticut, US (41.791, -72.787)",US-CT,07 Sep 2017,L6249570,S39048282
453,Rock Pigeon,,Coors Field (restricted access),US-CO,03 Sep 2017,L3788878,S38983949
454,Lesser Goldfinch,1,Little Park,US-CO,02 Sep 2017,L516843,S38959867
455,Wilson's Warbler,1,"301 Jasmine Street, Denver, Colorado, US (39.722, -104.919)",US-CO,01 Sep 2017,L6231455,S39026092
456,Northern Flicker,1,"301 Jasmine Street, Denver, Colorado, US (39.722, -104.919)",US-CO,31 Aug 2017,L6231455,S38928785
457,Killdeer,1,Fisher Meadows Recreation Area,US-CT,29 Aug 2017,L733301,S38889848
458,Least Sandpiper,11,Fisher Meadows Recreation Area,US-CT,29 Aug 2017,L733301,S38889848
459,Solitary Sandpiper,1,Fisher Meadows Recreation Area,US-CT,29 Aug 2017,L733301,S38889848
460,Magnolia Warbler,1,Island Cottage Woods--Wildfowl Club Entrance,US-NY,26 Aug 2017,L1143283,S38833709
