Row #,Species,Count,Location,S/P,Date,LocID,SubID
28,Hooded Merganser,6,Harns Marsh,US-FL,06 Jan 2018,L830108,S41671901
29,Red-breasted Merganser,26,Estero Bay Preserve SP--Winkler Point,US-FL,31 Dec 2017,L2589166,S41464521
30,Ruddy Duck,2,Stormwater Treatment Area 5/6,US-FL,12 Jan 2019,L207305,S51593860
31,Northern Bobwhite,1,Alva Scrub #195,US-FL,01 Mar 2018,L2921335,S43289274
32,Indian Peafowl,1,Matheson Hammock Park,US-FL,25 Feb 2018,L127425,S43166649
33,Wild Turkey,1,I 75 Median/ Mile Marker 118.5,US-FL,22 Feb 2018,L6971137,S43088485
34,American Flamingo,1,St. Marks NWR--Stoney Bayou 2,US-FL,02 May 2019,L582780,S55680487
35,Least Grebe,1,Peaceful Waters Sanctuary,US-FL,13 Apr 2019,L1017638,S54902974
36,Pied-billed Grebe,2,Six Mile Cypress Slough Preserve,US-FL,10 Jan 2017,L424819,S38539010
37,Horned Grebe,3,"3401 Tropical Point Drive, Saint James City, Florida, US (26.547, -82.081)",US-FL,29 Jan 2018,L6795889,S42344272
38,Rock Pigeon,23,"3412 U.S. 41, Fort Myers, Florida, US (26.615, -81.872)",US-FL,21 Jan 2018,L6756781,S42121633
39,White-crowned Pigeon,2,"1001 James Street, Key West, Florida, US (24.561, -81.798)",US-FL,22 Mar 2018,L7104085,S43867437
40,Eurasian Collared-Dove,2,I95 Florida Welcome Centre,US-FL,15 Oct 2017,L3479704,S39931211
41,Common Ground Dove,1,J. N. Ding Darling NWR--Wildlife Drive,US-FL,20 Aug 2017,L823147,S38729364
42,Key West Quail-Dove,1,Dr. Von D. Mizell-Eula Johnson SP,US-FL,22 Apr 2019,L5744252,S55259950
43,White-winged Dove,1,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,15 Jan 2018,L6724846,S41948244
44,Mourning Dove,3,Caloosahatchee Creeks Preserve--East,US-FL,12 Aug 2017,L674344,S38602142
45,Smooth-billed Ani,1,J. N. Ding Darling NWR--Bailey Tract,US-FL,30 Dec 2018,L127399,S51084364
46,Groove-billed Ani,1,Winding Waters Natural area,US-FL,04 Feb 2019,L2726529,S52369547
47,Dark-billed Cuckoo,1,West Delray Regional Park,US-FL,10 Feb 2019,L1427512,S52548955
